"DateEx","Location","Program","Observers","SongbirdNets","NonSongbirdNets","JTrap","OtherTrap","Heliogoland","VisibleMigration","CoverageCode"
5/13/2005 0:00:00,"MBO","SMMP2005",0,0.00,0,0,0,0,0,1
5/14/2005 0:00:00,"MBO","SMMP2005",0,0.00,0,0,0,0,0,1
5/15/2005 0:00:00,"MBO","SMMP2005",0,0.00,0,0,0,0,0,1
5/16/2005 0:00:00,"MBO","SMMP2005",5,70.00,0,0,0,0,0,2.5
5/17/2005 0:00:00,"MBO","SMMP2005",13.5,70.50,0,0,0,0,0,4.5
5/18/2005 0:00:00,"MBO","SMMP2005",6,51.00,0,0,0,0,0,3
5/19/2005 0:00:00,"MBO","SMMP2005",0,0.00,0,0,0,0,0,1
5/20/2005 0:00:00,"MBO","SMMP2005",2,9.00,0,0,0,0,0,2
5/21/2005 0:00:00,"MBO","SMMP2005",5,74.20,0,0,0,0,0,3.5
5/22/2005 0:00:00,"MBO","SMMP2005",0,0.00,0,0,0,0,0,1
5/23/2005 0:00:00,"MBO","SMMP2005",0,0.00,0,0,0,0,0,1
5/24/2005 0:00:00,"MBO","SMMP2005",13,64.60,0,0,0,0,0,4.5
5/25/2005 0:00:00,"MBO","SMMP2005",11.5,82.30,0,0,0,0,0,5
5/26/2005 0:00:00,"MBO","SMMP2005",9,71.00,0,0,0,0,0,4.5
5/27/2005 0:00:00,"MBO","SMMP2005",15.5,63.80,0,0,0,0,0,4.5
5/28/2005 0:00:00,"MBO","SMMP2005",0,0.00,0,0,0,0,0,1
5/29/2005 0:00:00,"MBO","SMMP2005",0,0.00,0,0,0,0,0,1
5/30/2005 0:00:00,"MBO","SMMP2005",19,59.20,0,0,0,0,0,4.5
5/31/2005 0:00:00,"MBO","NEST2005",0,0.00,0,0,0,,0,0
5/31/2005 0:00:00,"MBO","SMMP2005",7.5,78.00,0,0,0,0,0,3.5
6/1/2005 0:00:00,"MBO","SMMP2005",0,0.00,0,0,0,0,0,1
6/2/2005 0:00:00,"MBO","SMMP2005",0.5,0.00,0,0,0,0,0,1.5
6/3/2005 0:00:00,"MBO","SMMP2005",0.5,0.00,0,0,0,0,0,1.5
6/4/2005 0:00:00,"MBO","SUMMER2005",0,0.00,0,0,0,,0,0
6/5/2005 0:00:00,"MBO","SUMMER2005",0,0.00,0,0,0,,0,0
6/6/2005 0:00:00,"VICT","PEFA",,0.00,,,,0,,
6/8/2005 0:00:00,"MBO","SUMMER2005",0,0.00,0,0,0,,0,0
6/9/2005 0:00:00,"MBO","SUMMER2005",0,0.00,0,0,0,,0,0
6/10/2005 0:00:00,"MBO","NEST2005",0,0.00,0,0,0,,0,0
6/10/2005 0:00:00,"MBO","SUMMER2005",0,0.00,0,0,0,,0,0
6/11/2005 0:00:00,"MBO","SUMMER2005",0,0.00,0,0,0,,0,0
6/12/2005 0:00:00,"MERC","PEFA",,0.00,,,,0,,
6/16/2005 0:00:00,"MBO","SUMMER2005",0,0.00,0,0,0,,0,0
6/18/2005 0:00:00,"MBO","SUMMER2005",0,0.00,0,0,0,,0,0
6/19/2005 0:00:00,"MBO","SUMMER2005",0,0.00,0,0,0,,0,0
6/22/2005 0:00:00,"MBO","SUMMER2005",0,0.00,0,0,0,,0,0
6/23/2005 0:00:00,"MBO","SUMMER2005",0,0.00,0,0,0,,0,0
6/25/2005 0:00:00,"MBO","SUMMER2005",0,0.00,0,0,0,,0,0
6/26/2005 0:00:00,"MBO","SUMMER2005",0,0.00,0,0,0,,0,0
6/28/2005 0:00:00,"MBO","SUMMER2005",0,0.00,0,0,0,,0,0
6/29/2005 0:00:00,"MBO","SUMMER2005",0,0.00,0,0,0,,0,0
6/30/2005 0:00:00,"JB","BANDINGDEMOS",,0.00,,,,0,,
6/30/2005 0:00:00,"MBO","SUMMER2005",0,0.00,0,0,0,,0,0
7/2/2005 0:00:00,"MBO","NEST2005",0,0.00,0,0,0,,0,0
7/2/2005 0:00:00,"MBO","SUMMER2005",0,18.00,0,0,0,,0,0
7/5/2005 0:00:00,"MBO","SUMMER2005",0,0.00,0,0,0,,0,0
7/6/2005 0:00:00,"MBO","SUMMER2005",0,0.00,0,0,0,,0,0
7/7/2005 0:00:00,"MBO","SUMMER2005",0,0.00,0,0,0,,0,0
7/9/2005 0:00:00,"MBO","SUMMER2005",0,0.00,0,0,0,,0,0
7/10/2005 0:00:00,"MBO","SUMMER2005",0,0.00,0,0,0,,0,0
7/12/2005 0:00:00,"MBO","SUMMER2005",0,0.00,0,0,0,,0,0
7/13/2005 0:00:00,"MBO","SUMMER2005",0,0.00,0,0,0,,0,0
7/14/2005 0:00:00,"JB","BANDINGDEMOS",,0.00,,,,0,,
7/19/2005 0:00:00,"MBO","SUMMER2005",0,0.00,0,0,0,,0,0
7/20/2005 0:00:00,"MBO","SUMMER2005",0,0.00,0,0,0,,0,0
7/21/2005 0:00:00,"MBO","SUMMER2005",0,0.00,0,0,0,,0,0
7/22/2005 0:00:00,"MBO","SUMMER2005",0,4.00,0,0,0,,0,0
7/23/2005 0:00:00,"MBO","SUMMER2005",0,0.00,0,0,0,,0,0
7/26/2005 0:00:00,"MBO","SUMMER2005",0,0.00,0,0,0,,0,0
7/28/2005 0:00:00,"JB","BANDINGDEMOS",,0.00,,,,0,,
7/28/2005 0:00:00,"MBO","SUMMER2005",0,0.00,0,0,0,,0,0
7/29/2005 0:00:00,"MBO","SUMMER2005",0,0.00,0,0,0,,0,0
7/30/2005 0:00:00,"MBO","SUMMER2005",0,12.00,0,0,0,,0,0
8/1/2005 0:00:00,"MBO","FMMP2005",3,7.00,0,0,0,0,0,2.5
8/2/2005 0:00:00,"MBO","FMMP2005",0,0.00,0,0,0,0,0,1
8/3/2005 0:00:00,"MBO","FMMP2005",6.4,24.50,0,0,0,0,0,3
8/4/2005 0:00:00,"MBO","FMMP2005",1,0.00,0,0,0,0,0,1.5
8/5/2005 0:00:00,"MBO","FMMP2005",0,0.00,0,0,0,0,0,1
8/6/2005 0:00:00,"MBO","FMMP2005",,40.00,,,,0,,2
8/7/2005 0:00:00,"MBO","FMMP2005",0,0.00,0,0,0,0,0,1
8/8/2005 0:00:00,"MBO","FMMP2005",4.5,25.00,0,0,0,0,0,3
8/9/2005 0:00:00,"MBO","FMMP2005",0,0.00,0,0,0,0,0,1
8/10/2005 0:00:00,"MBO","FMMP2005",5.5,29.50,0,0,0,0,0,3
8/11/2005 0:00:00,"JB","BANDINGDEMOS",,0.00,,,,0,,
8/11/2005 0:00:00,"MBO","FMMP2005",0,0.00,0,0,0,0,0,1
8/12/2005 0:00:00,"MBO","FMMP2005",5.8,37.80,0,0,0,0,0,3
8/13/2005 0:00:00,"MBO","FMMP2005",9.3,40.00,0,0,0,0,0,4
8/14/2005 0:00:00,"MBO","FMMP2005",0,0.00,0,0,0,0,0,1
8/15/2005 0:00:00,"MBO","FMMP2005",6,64.00,0,0,0,0,0,4
8/16/2005 0:00:00,"MBO","FMMP2005",0,0.00,0,0,0,0,0,1
8/17/2005 0:00:00,"MBO","FMMP2005",6.3,53.80,0,0,0,0,0,4
8/18/2005 0:00:00,"MBO","FMMP2005",0,0.00,0,0,0,0,0,1
8/19/2005 0:00:00,"MBO","FMMP2005",7.3,35.00,0,0,0,0,0,3.5
8/20/2005 0:00:00,"MBO","FMMP2005",0,0.00,0,0,0,0,0,1
8/21/2005 0:00:00,"MBO","FMMP2005",0,0.00,0,0,0,0,0,1
8/22/2005 0:00:00,"MBO","FMMP2005",4.5,54.50,0,0,0,0,0,2.5
8/23/2005 0:00:00,"MBO","FMMP2005",3,11.50,0,0,0,0,0,2.5
8/23/2005 0:00:00,"NICH","NICHOIR",,0.00,,,,0,,
8/24/2005 0:00:00,"MBO","FMMP2005",14,47.00,0,0,0,0,0,4
8/25/2005 0:00:00,"MBO","FMMP2005",0,0.00,0,0,0,0,0,1
8/26/2005 0:00:00,"MBO","FMMP2005",12,63.50,0,0,0,0,0,4.5
8/27/2005 0:00:00,"MBO","FMMP2005",12.8,69.10,0,0,0,0,0,4.5
8/28/2005 0:00:00,"MBO","FMMP2005",0,0.00,0,0,0,0,0,1
8/29/2005 0:00:00,"MBO","FMMP2005",11.3,66.00,0,0,0,0,0,4.5
8/30/2005 0:00:00,"MBO","FMMP2005",13.3,67.80,0,0,0,0,0,4.5
8/31/2005 0:00:00,"MBO","FMMP2005",0,0.00,0,0,0,0,0,1
9/1/2005 0:00:00,"MBO","FMMP2005",7,76.20,0,0,0,0,0,4.5
9/2/2005 0:00:00,"MBO","FMMP2005",10.5,75.00,0,0,0,0,0,5
9/3/2005 0:00:00,"MBO","FMMP2005",14.5,75.00,0,0,0,0,0,5
9/4/2005 0:00:00,"MBO","FMMP2005",12,75.00,0,0,0,0,0,5
9/5/2005 0:00:00,"MBO","FMMP2005",8,75.00,0,0,0,0,0,4.5
9/6/2005 0:00:00,"MBO","FMMP2005",12.5,75.00,0,0,0,0,0,5
9/7/2005 0:00:00,"MBO","FMMP2005",35,75.00,0,0,0,0,0,5
9/8/2005 0:00:00,"MBO","FMMP2005",8.3,38.00,0,0,0,0,0,3.5
9/9/2005 0:00:00,"MBO","FMMP2005",18.3,75.00,0,0,0,0,0,5
9/10/2005 0:00:00,"MBO","FMMP2005",10.5,68.50,0,0,0,0,0,4.5
9/11/2005 0:00:00,"MBO","FMMP2005",16,75.00,0,0,0,0,0,5
9/12/2005 0:00:00,"MBO","FMMP2005",4.8,75.00,0,0,0,0,0,4
9/13/2005 0:00:00,"MBO","FMMP2005",10,72.20,0,0,0,0,0,4.5
9/14/2005 0:00:00,"MBO","FMMP2005",7.3,75.00,0,0,0,0,0,4.5
9/15/2005 0:00:00,"MBO","FMMP2005",5.8,71.50,0,0,0,0,0,3.5
9/16/2005 0:00:00,"MBO","FMMP2005",8.5,75.00,0,0,0,0,0,4.5
9/17/2005 0:00:00,"MBO","FMMP2005",0,0.00,0,0,0,0,0,1
9/18/2005 0:00:00,"MBO","FMMP2005",12.8,75.30,0,0,0,0,0,5
9/19/2005 0:00:00,"MBO","FMMP2005",8,50.00,0,0,0,0,0,4
9/20/2005 0:00:00,"MBO","FMMP2005",9.8,35.50,0,0,0,0,0,4
9/21/2005 0:00:00,"MBO","FMMP2005",12.8,75.30,0,0,0,0,0,5
9/22/2005 0:00:00,"MBO","FMMP2005",11.8,63.30,0,0,0,0,0,4.5
9/23/2005 0:00:00,"MBO","FMMP2005",11,51.30,0,0,0,0,0,4.5
9/24/2005 0:00:00,"MBO","FMMP2005",11.8,78.00,0,0,0,0,0,5
9/24/2005 0:00:00,"MBO","OWLS2005",,24.00,,,,,,
9/25/2005 0:00:00,"MBO","FMMP2005",12.1,83.00,0,0,0,0,0,5
9/27/2005 0:00:00,"MBO","FMMP2005",9,84.00,0,0,0,0,0,5
9/28/2005 0:00:00,"MBO","FMMP2005",11.3,90.00,0,0,0,0,0,5
9/29/2005 0:00:00,"MBO","FMMP2005",0,0.00,0,0,0,0,0,1
9/30/2005 0:00:00,"MBO","FMMP2005",13,50.00,,,,0,,4.5
9/30/2005 0:00:00,"MBO","OWLS2005",,30.00,,,,,,
10/1/2005 0:00:00,"MBO","FMMP2005",15.9,82.00,0,0,0,0,0,5
10/2/2005 0:00:00,"MBO","FMMP2005",19.3,91.70,0,0,0,0,0,5
10/3/2005 0:00:00,"MBO","FMMP2005",8,72.20,0,0,0,0,0,4
10/4/2005 0:00:00,"MBO","FMMP2005",7.8,85.50,0,0,0,0,0,4.5
10/5/2005 0:00:00,"MBO","FMMP2005",13.3,76.30,0,0,0,0,0,5
10/6/2005 0:00:00,"MBO","FMMP2005",14,57.50,0,0,0,0,0,4.5
10/8/2005 0:00:00,"MBO","FMMP2005",13.3,50.00,0,0,0,0,0,4.5
10/8/2005 0:00:00,"MBO","OWLS2005",,25.30,,,,,,
10/9/2005 0:00:00,"MBO","FMMP2005",18,27.00,0,0,0,0,0,4
10/10/2005 0:00:00,"MBO","FMMP2005",7,40.30,0,0,0,0,0,3.5
10/11/2005 0:00:00,"MBO","FMMP2005",12,55.00,0,0,0,0,0,4.5
10/11/2005 0:00:00,"MBO","OWLS2005",,24.00,,,,,,
10/12/2005 0:00:00,"MBO","FMMP2005",14.8,35.00,0,0,0,0,0,4
10/12/2005 0:00:00,"MBO","OWLS2005",,24.00,,,,,,
10/13/2005 0:00:00,"MBO","FMMP2005",16,3.80,0,0,0,0,0,3.5
10/14/2005 0:00:00,"MBO","FMMP2005",7.3,0.00,0,0,0,0,0,2.5
10/15/2005 0:00:00,"MBO","FMMP2005",11.7,34.30,0,0,0,0,0,4
10/17/2005 0:00:00,"MBO","FMMP2005",0,0.00,0,0,0,0,0,1
10/18/2005 0:00:00,"MBO","FMMP2005",0,0.00,0,0,0,0,0,1
10/19/2005 0:00:00,"MBO","FMMP2005",9.3,9.50,0,0,0,0,0,3.5
10/20/2005 0:00:00,"MBO","FMMP2005",13,60.00,0,0,0,0,0,4.5
10/20/2005 0:00:00,"MBO","OWLS2005",,42.00,,,,,,
10/21/2005 0:00:00,"MBO","FMMP2005",13,61.00,0,0,0,0,0,4.5
10/21/2005 0:00:00,"MBO","OWLS2005",,24.00,,,,,,
10/22/2005 0:00:00,"MBO","FMMP2005",19.5,59.80,0,0,0,0,0,4.5
10/23/2005 0:00:00,"MBO","FMMP2005",7.5,0.00,0,0,0,0,0,2.5
10/24/2005 0:00:00,"MBO","FMMP2005",,35.00,,,,0,,2
10/25/2005 0:00:00,"MBO","FMMP2005",0,0.00,0,0,0,0,0,1
10/26/2005 0:00:00,"MBO","FMMP2005",2,0.00,0,0,0,0,0,1.5
10/27/2005 0:00:00,"MBO","FMMP2005",16.5,62.50,0,0,0,0,0,4.5
10/28/2005 0:00:00,"MBO","FMMP2005",13.8,65.60,0,0,0,0,0,4.5
10/28/2005 0:00:00,"MBO","OWLS2005",,37.30,,,,,,
10/29/2005 0:00:00,"MBO","FMMP2005",13.1,63.00,0,0,0,0,0,4.5
10/30/2005 0:00:00,"MBO","FMMP2005",16.5,55.00,0,0,0,0,0,4.5
10/31/2005 0:00:00,"MBO","WINTER2005-06",0,14.00,0,0,0,,0,0
11/2/2005 0:00:00,"MBO","WINTER2005-06",,12.00,,,,0,,
11/6/2005 0:00:00,"MBO","WINTER2005-06",0,0.00,0,0,0,,0,0
11/7/2005 0:00:00,"MBO","WINTER2005-06",0,0.00,0,0,0,,0,0
11/11/2005 0:00:00,"MBO","WINTER2005-06",0,12.00,0,0,0,,0,0
11/13/2005 0:00:00,"MBO","WINTER2005-06",0,0.00,0,0,0,,0,0
11/14/2005 0:00:00,"MBO","WINTER2005-06",0,0.00,0,0,0,,0,0
11/18/2005 0:00:00,"MBO","WINTER2005-06",0,5.00,0,0,0,,0,0
11/19/2005 0:00:00,"MBO","WINTER2005-06",0,0.00,0,0,0,,0,0
11/22/2005 0:00:00,"MBO","WINTER2005-06",0,0.00,0,0,0,,0,0
11/23/2005 0:00:00,"MBO","WINTER2005-06",0,0.00,0,0,0,,0,0
11/25/2005 0:00:00,"MBO","WINTER2005-06",0,0.00,0,0,0,,0,0
11/26/2005 0:00:00,"MBO","WINTER2005-06",0,8.50,0,0,0,,0,0
11/30/2005 0:00:00,"MBO","WINTER2005-06",0,0.00,0,0,0,,0,0
12/1/2005 0:00:00,"MBO","WINTER2005-06",0,12.00,0,0,0,,0,0
12/3/2005 0:00:00,"MBO","WINTER2005-06",0,0.00,0,0,0,,0,0
12/5/2005 0:00:00,"MBO","WINTER2005-06",0,0.00,0,0,0,,0,0
12/6/2005 0:00:00,"MBO","WINTER2005-06",0,0.00,0,0,0,,0,0
12/7/2005 0:00:00,"MBO","WINTER2005-06",0,0.00,0,0,0,,0,0
12/9/2005 0:00:00,"MBO","WINTER2005-06",0,0.00,0,0,0,,0,0
12/11/2005 0:00:00,"MBO","WINTER2005-06",0,3.00,0,0,0,,0,0
12/13/2005 0:00:00,"MBO","WINTER2005-06",0,0.00,0,0,0,,0,0
12/14/2005 0:00:00,"MBO","WINTER2005-06",0,0.00,0,0,0,,0,0
12/16/2005 0:00:00,"MBO","WINTER2005-06",0,0.00,0,0,0,,0,0
12/19/2005 0:00:00,"MBO","WINTER2005-06",0,0.00,0,0,0,,0,0
12/21/2005 0:00:00,"MBO","WINTER2005-06",0,0.00,0,0,0,,0,0
12/25/2005 0:00:00,"MBO","WINTER2005-06",0,0.00,0,0,0,,0,0
12/29/2005 0:00:00,"MBO","WINTER2005-06",0,0.00,0,0,0,,0,0
1/1/2006 0:00:00,"MBO","WINTER2005-06",0,0.00,0,0,0,,0,0
1/6/2006 0:00:00,"MBO","WINTER2005-06",0,0.00,0,0,0,,0,0
1/8/2006 0:00:00,"MBO","WINTER2005-06",0,0.00,0,0,0,,0,0
1/10/2006 0:00:00,"MBO","WINTER2005-06",0,0.00,0,0,0,,0,0
1/12/2006 0:00:00,"MBO","WINTER2005-06",0,12.00,0,0,0,,0,0
1/13/2006 0:00:00,"MBO","WINTER2005-06",0,4.00,0,0,0,,0,0
1/15/2006 0:00:00,"MBO","WINTER2005-06",0,0.00,0,0,0,,0,0
1/22/2006 0:00:00,"MBO","WINTER2005-06",0,0.00,0,0,0,,0,0
1/23/2006 0:00:00,"MBO","WINTER2005-06",0,7.00,0,0,0,,0,0
1/27/2006 0:00:00,"MBO","WINTER2005-06",0,0.00,0,0,0,,0,0
1/28/2006 0:00:00,"MBO","WINTER2005-06",0,11.00,0,0,0,,0,0
1/29/2006 0:00:00,"MBO","WINTER2005-06",0,8.00,0,0,0,,0,0
1/31/2006 0:00:00,"MBO","WINTER2005-06",0,0.00,0,0,0,,0,0
2/1/2006 0:00:00,"MBO","WINTER2005-06",0,11.00,0,0,0,,0,0
2/3/2006 0:00:00,"MBO","WINTER2005-06",0,0.00,0,0,0,,0,0
2/6/2006 0:00:00,"MBO","WINTER2005-06",0,0.00,0,0,0,,0,0
2/8/2006 0:00:00,"MBO","WINTER2005-06",0,0.00,0,0,0,,0,0
2/11/2006 0:00:00,"MBO","WINTER2005-06",0,0.00,0,0,0,,0,0
2/14/2006 0:00:00,"MBO","WINTER2005-06",0,0.00,0,0,0,,0,0
2/15/2006 0:00:00,"MBO","WINTER2005-06",0,12.00,0,0,0,,0,0
2/22/2006 0:00:00,"MBO","WINTER2005-06",0,0.00,0,0,0,,0,0
2/24/2006 0:00:00,"MBO","WINTER2005-06",0,0.00,0,0,0,,0,0
2/25/2006 0:00:00,"MBO","WINTER2005-06",0,0.00,0,0,0,,0,0
2/28/2006 0:00:00,"MBO","WINTER2005-06",0,0.00,0,0,0,,0,0
3/2/2006 0:00:00,"MBO","WINTER2005-06",0,0.00,0,0,0,,0,0
3/3/2006 0:00:00,"MBO","WINTER2005-06",0,0.00,0,0,0,,0,0
3/5/2006 0:00:00,"MBO","WINTER2005-06",0,0.00,0,0,0,,0,0
3/6/2006 0:00:00,"MBO","WINTER2005-06",0,0.00,0,0,0,,0,0
3/7/2006 0:00:00,"MBO","WINTER2005-06",0,10.00,0,0,0,,0,0
3/10/2006 0:00:00,"MBO","WINTER2005-06",0,0.00,0,0,0,,0,0
3/11/2006 0:00:00,"MBO","WINTER2005-06",0,7.00,0,0,0,,0,0
3/16/2006 0:00:00,"MBO","WINTER2005-06",0,0.00,0,0,0,,0,0
